Target Distance: 50, steps size :2
621: (x,y)=(8.46088 , -40.8591)
622: (x,y)=(8.39109 , -38.8603)
623: (x,y)=(6.57847 , -38.0151)
624: (x,y)=(8.45785 , -37.331)
625: (x,y)=(6.74352 , -38.3611)
626: (x,y)=(7.94715 , -36.7638)
627: (x,y)=(9.879 , -36.2462)
628: (x,y)=(7.97689 , -36.8642)
629: (x,y)=(9.85627 , -37.5483)
630: (x,y)=(10.4743 , -39.4504)
631: (x,y)=(11.8383 , -37.9877)
632: (x,y)=(10.2 , -39.1348)
633: (x,y)=(12.1997 , -39.1697)
634: (x,y)=(12.7844 , -41.0823)
635: (x,y)=(11.4462 , -39.5961)
636: (x,y)=(10.2706 , -41.2141)
637: (x,y)=(11.78 , -39.902)
638: (x,y)=(12.0929 , -37.9266)
639: (x,y)=(10.0929 , -37.9266)
640: (x,y)=(8.41555 , -36.8373)
641: (x,y)=(8.6939 , -38.8179)
642: (x,y)=(6.6939 , -38.8179)
643: (x,y)=(8.6939 , -38.8179)
644: (x,y)=(10.4759 , -37.9099)
645: (x,y)=(8.6633 , -38.7551)
646: (x,y)=(10.0016 , -40.2414)
647: (x,y)=(11.1487 , -41.8797)
648: (x,y)=(11.5303 , -43.843)
649: (x,y)=(9.54129 , -44.052)
650: (x,y)=(9.02365 , -42.1202)
651: (x,y)=(10.9724 , -42.5701)
652: (x,y)=(12.942 , -42.2228)
653: (x,y)=(11.0294 , -42.8075)
654: (x,y)=(9.45337 , -41.5762)
655: (x,y)=(9.17503 , -43.5567)
656: (x,y)=(9.52232 , -45.5263)
657: (x,y)=(7.59047 , -46.044)
658: (x,y)=(7.86882 , -48.0245)
659: (x,y)=(9.83843 , -48.3718)
660: (x,y)=(11.2024 , -46.9091)
661: (x,y)=(11.6183 , -44.9528)
662: (x,y)=(13.2155 , -43.7492)
663: (x,y)=(11.8262 , -42.3105)
664: (x,y)=(13.0848 , -43.8648)
665: (x,y)=(14.7232 , -45.0119)
666: (x,y)=(14.6185 , -47.0092)
667: (x,y)=(12.6234 , -47.1487)
668: (x,y)=(11.5635 , -48.8448)
After 669 steps, the subject has the following location: 
(x,y)=(11.5635 , -48.8448)
 or
(m,a) = (50.1949, -76.681)
average outward distance per step = 0.0750298
